date,open,high,low,close,volume,ma50,ma200
2025-06-16 10:30:00,12.31,12.36,12.21,12.31,5955100,,
2025-06-16 11:30:00,12.31,12.54,12.28,12.44,7096400,,
2025-06-16 14:00:00,12.44,12.44,12.39,12.43,2330700,,
2025-06-16 15:00:00,12.43,12.48,12.42,12.48,4533900,,
2025-06-17 10:30:00,12.48,12.48,12.33,12.35,6205200,,
2025-06-17 11:30:00,12.35,12.42,12.34,12.39,1630500,,
2025-06-17 14:00:00,12.39,12.45,12.38,12.41,1885600,,
2025-06-17 15:00:00,12.41,12.45,12.4,12.45,2228700,,
2025-06-18 10:30:00,12.44,12.48,12.35,12.41,4762400,,
2025-06-18 11:30:00,12.4,12.41,12.35,12.38,1807200,,
2025-06-18 14:00:00,12.38,12.39,12.34,12.34,1623800,,
2025-06-18 15:00:00,12.35,12.38,12.3,12.34,2534900,,
2025-06-19 10:30:00,12.35,12.35,12.16,12.16,4783400,,
2025-06-19 11:30:00,12.16,12.17,12.08,12.1,2627700,,
2025-06-19 14:00:00,12.1,12.24,12.07,12.15,2763200,,
2025-06-19 15:00:00,12.16,12.22,12.13,12.18,2279800,,
2025-06-20 10:30:00,12.16,12.35,12.15,12.31,7158600,,
2025-06-20 11:30:00,12.31,12.32,12.25,12.28,1416600,,
2025-06-20 14:00:00,12.28,12.42,12.27,12.35,3504700,,
2025-06-20 15:00:00,12.35,12.36,12.25,12.32,3302700,,
2025-06-23 10:30:00,12.3,12.3,12.14,12.27,4320700,,
2025-06-23 11:30:00,12.27,12.37,12.26,12.31,2230300,,
2025-06-23 14:00:00,12.32,12.34,12.26,12.32,1498800,,
2025-06-23 15:00:00,12.33,12.35,12.31,12.33,3381100,,
2025-06-24 10:30:00,12.3,12.32,12.2,12.31,5532800,,
2025-06-24 11:30:00,12.32,12.32,12.28,12.3,1699100,,
2025-06-24 14:00:00,12.3,12.34,12.29,12.31,1989900,,
2025-06-24 15:00:00,12.31,12.35,12.3,12.35,3378400,,
2025-06-25 10:30:00,12.34,12.63,12.33,12.58,14952500,,
2025-06-25 11:30:00,12.58,12.75,12.58,12.63,9575300,,
2025-06-25 14:00:00,12.63,12.65,12.55,12.59,4194000,,
2025-06-25 15:00:00,12.6,12.63,12.58,12.6,5258300,,
2025-06-26 10:30:00,12.61,13.2,12.56,13.2,28993600,,
2025-06-26 11:30:00,13.18,13.27,12.99,13.04,16485600,,
2025-06-26 14:00:00,13.05,13.05,12.88,12.88,6921400,,
2025-06-26 15:00:00,12.88,12.95,12.85,12.87,6986300,,
2025-06-27 10:30:00,12.79,13.01,12.79,12.82,13580500,,
2025-06-27 11:30:00,12.82,12.92,12.75,12.76,5809000,,
2025-06-27 14:00:00,12.76,12.8,12.72,12.73,3944400,,
2025-06-27 15:00:00,12.74,12.75,12.69,12.7,5704500,,
2025-06-30 10:30:00,12.8,13.04,12.73,13.01,14820200,,
2025-06-30 11:30:00,13.02,13.03,12.94,13.0,5267300,,
2025-06-30 14:00:00,13.0,13.01,12.9,12.91,3725400,,
2025-06-30 15:00:00,12.92,12.97,12.91,12.97,4911400,,
2025-07-01 10:30:00,12.98,13.37,12.89,13.19,23063800,,
2025-07-01 11:30:00,13.19,13.36,13.18,13.22,16527800,,
2025-07-01 14:00:00,13.23,13.24,13.11,13.22,6685900,,
2025-07-01 15:00:00,13.23,13.27,13.18,13.22,8862900,,
2025-07-02 10:30:00,13.6,13.67,13.21,13.46,40045600,,
2025-07-02 11:30:00,13.46,13.47,13.28,13.28,5936700,12.599200000000002,
2025-07-02 14:00:00,13.28,13.34,13.04,13.06,7612200,12.6142,
2025-07-02 15:00:00,13.05,13.07,12.98,13.01,9983700,12.625599999999999,
2025-07-03 10:30:00,12.96,13.31,12.94,13.11,20206300,12.6392,
2025-07-03 11:30:00,13.1,13.11,12.99,13.0,4430800,12.6496,
2025-07-03 14:00:00,13.0,13.1,13.0,13.06,4097000,12.663800000000002,
2025-07-03 15:00:00,13.06,13.07,12.99,13.02,4825900,12.676400000000001,
2025-07-04 10:30:00,13.01,13.01,12.72,12.75,13122800,12.683200000000001,
2025-07-04 11:30:00,12.75,12.82,12.74,12.79,3641900,12.69,
2025-07-04 14:00:00,12.78,12.92,12.78,12.79,4158300,12.6976,
2025-07-04 15:00:00,12.79,12.8,12.73,12.78,4819100,12.705600000000002,
2025-07-07 10:30:00,12.72,13.14,12.69,12.98,16620300,12.718399999999999,
2025-07-07 11:30:00,12.99,12.99,12.9,12.94,3484500,12.7304,
2025-07-07 14:00:00,12.94,13.25,12.88,13.18,13983800,12.7508,
2025-07-07 15:00:00,13.17,13.21,13.16,13.2,8129000,12.7728,
2025-07-08 10:30:00,13.11,13.12,12.97,13.04,12260900,12.7906,
2025-07-08 11:30:00,13.04,13.13,13.0,13.1,3638100,12.809,
2025-07-08 14:00:00,13.09,13.18,13.07,13.13,4603000,12.8254,
2025-07-08 15:00:00,13.14,13.14,13.08,13.13,5128300,12.8424,
2025-07-09 10:30:00,13.14,13.14,13.03,13.05,7459100,12.8564,
2025-07-09 11:30:00,13.06,13.06,12.96,13.01,5225900,12.8702,
2025-07-09 14:00:00,13.02,13.02,12.97,13.0,3167600,12.8848,
2025-07-09 15:00:00,12.99,13.0,12.88,12.91,5304300,12.8968,
2025-07-10 10:30:00,12.91,13.05,12.85,12.96,6221500,12.909600000000001,
2025-07-10 11:30:00,12.97,13.01,12.93,13.01,2744000,12.923200000000001,
2025-07-10 14:00:00,13.0,13.0,12.96,12.98,1669400,12.9366,
2025-07-10 15:00:00,12.98,13.0,12.92,12.95,3200100,12.9496,
2025-07-11 10:30:00,12.95,13.31,12.95,13.23,21220100,12.968,
2025-07-11 11:30:00,13.23,13.3,13.21,13.29,6267500,12.986799999999999,
2025-07-11 14:00:00,13.28,13.32,13.2,13.22,7461600,12.999600000000001,
2025-07-11 15:00:00,13.22,13.24,13.18,13.2,5581200,13.011000000000001,
2025-07-14 10:30:00,13.11,13.18,12.98,13.05,10910000,13.020199999999999,
2025-07-14 11:30:00,13.06,13.12,13.01,13.03,3075300,13.028799999999999,
2025-07-14 14:00:00,13.03,13.04,13.0,13.03,2709600,13.025400000000001,
2025-07-14 15:00:00,13.03,13.03,13.01,13.01,3638900,13.0248,
2025-07-15 10:30:00,12.78,12.78,12.43,12.51,25481200,13.0174,
2025-07-15 11:30:00,12.51,12.54,12.45,12.48,4760300,13.0096,
2025-07-15 14:00:00,12.49,12.54,12.46,12.5,3807100,13.003200000000001,
2025-07-15 15:00:00,12.51,12.6,12.5,12.56,4763600,12.9992,
